code,label,slug,restaurant_name,objectID
TYC_1065,International,international,Eat Me,73680
TYC_6,Contemporary,contemporary,Casa de La Sirena,73679
TYC_6,Contemporary,contemporary,es.TABLE,73678
TYC_1142,Rice Dishes,rice-dishes,Napicol,73677
TYC_1036,Creative,creative,Napicol,73677
TYC_1161,Fusion,fusion-1161,Alapar,73676
TYC_1085,Modern Cuisine,modern-cuisine,El Carreter,73675
TYC_6,Contemporary,contemporary,Casas Colgadas,73674
TYC_1085,Modern Cuisine,modern-cuisine,Erro,73673
TYC_1068,Japanese,japanese,Akase,73672
TYC_1101,Regional Cuisine,regional-cuisine,Remigio,73671
TYC_1156,Market Cuisine,market-cuisine,Remigio,73671
TYC_1122,Traditional Cuisine,traditional-cuisine,Tierra y Vino,73670
TYC_1085,Modern Cuisine,modern-cuisine,Manzil,73669
TYC_1036,Creative,creative,Oba-,73668
TYC_1203,Asian Contemporary,asian-contemporary,Kaoma,73667
TYC_1130,Peruvian,peruvian,Kaoma,73667
TYC_1083,Mediterranean Cuisine,mediterranean-cuisine,Cuina Sant Pau,73666
TYC_6,Contemporary,contemporary,Cuina Sant Pau,73666
TYC_1065,International,international,ConMimo,73665
TYC_1010,Asian,asian,Zumaque,73664
TYC_1068,Japanese,japanese,Ikigai Velázquez,73663
TYC_6,Contemporary,contemporary,Origen,73662
TYC_6,Contemporary,contemporary,Zunzum Gastrobar,73661
TYC_1085,Modern Cuisine,modern-cuisine,Bomborombillos,73660
TYC_1122,Traditional Cuisine,traditional-cuisine,Zapirain,73659
TYC_1068,Japanese,japanese,Zuara Sushi,73658
TYC_1085,Modern Cuisine,modern-cuisine,Malak,73657
TYC_1085,Modern Cuisine,modern-cuisine,Can Domo,73656
TYC_1122,Traditional Cuisine,traditional-cuisine,Terra,73655
TYC_1229,Pork Specialities,pork-specialities,Odoloste,73654
TYC_1068,Japanese,japanese,Iwasaki,73653
TYC_1085,Modern Cuisine,modern-cuisine,Travieso,73652
TYC_6,Contemporary,contemporary,Pementa Rosa,73651
TYC_1156,Market Cuisine,market-cuisine,Marcela,73650
TYC_111,Meats and Seafood,meats-and-seafood,Marcela,73650
TYC_1122,Traditional Cuisine,traditional-cuisine,Las Lías Bilbao,73649
TYC_1004,Andalusian,andalusian,La Marmita de Ancha,73648
TYC_1126,Vegetarian,vegetarian,Encanto,73647
TYC_6,Contemporary,contemporary,Follia,73646
TYC_1068,Japanese,japanese,Suto,73645
TYC_1068,Japanese,japanese,Hōchō,73644
TYC_1085,Modern Cuisine,modern-cuisine,Fuentelgato,73643
TYC_1156,Market Cuisine,market-cuisine,El Bressol,73642
TYC_1085,Modern Cuisine,modern-cuisine,Casa Nova,73641
TYC_1083,Mediterranean Cuisine,mediterranean-cuisine,Beluga,73640
TYC_6,Contemporary,contemporary,Kabo,73639
TYC_55,Fusion,fusion,Thaissence,73638
TYC_1122,Traditional Cuisine,traditional-cuisine,Al Margen,73637
TYC_6,Contemporary,contemporary,Ababol,73636
TYC_1085,Modern Cuisine,modern-cuisine,Er Estrangèr,73635
TYC_6,Contemporary,contemporary,Eximio by Fernando Martín,73634
TYC_6,Contemporary,contemporary,Casa Rubén,73633
TYC_1036,Creative,creative,RavioXO,73632
TYC_832,Dumplings,dumplings,RavioXO,73632
TYC_1085,Modern Cuisine,modern-cuisine,Cobo Evolución,73631
TYC_1014,Basque,basque,Nákar,73630
TYC_1122,Traditional Cuisine,traditional-cuisine,Cisco - Cozinha Tradicional,73629
TYC_1099,Portuguese,portuguese,Cisco - Cozinha Tradicional,73629
TYC_1122,Traditional Cuisine,traditional-cuisine,Oficio,73628
TYC_6,Contemporary,contemporary,Fishølogy,73627
TYC_1083,Mediterranean Cuisine,mediterranean-cuisine,Fishølogy,73627
TYC_1036,Creative,creative,NoDrama Concept,73626
TYC_1067,Italian,italian,Da Filippo,73625
TYC_1085,Modern Cuisine,modern-cuisine,Marlene,73624
